Name,Distance,Mass,Radius,Constellation,Rightascension,Declination,App.mag.,Spectraltype,Brown dwarf,Orbitalperiod,Semimajoraxis,Ecc.,Discovery year,Link
NGC 4349-127,7097,19.8,,Crux,12h 24m 08s,−61° 52′ 18″,7.4,MIII?,b,677.8,2.38,0.19,2007,https://en.wikipedia.org/wiki/NGC_4349-127
Gliese 569,31.5,116,,Boötes,14h 54m 29s,+16° 06′ 04″,10.2,M3V,Ba + Bb,870[7],0.87[7],0.317[7],1988,https://en.wikipedia.org/w/index.php?title=Gliese_569&action=edit&redlink=1
HD 29587,146.77,40,,Perseus,04h 41m 34s,+42° 07′ 25″,7.29,G2V,b,1471.7,2.5,0.37,1996,https://en.wikipedia.org/wiki/HD_29587
ChaHα8,522,18,,Chamaeleon,11h 07m 48s,−77° 40′ 08″,20.1,M6.5,b,1590.9,1,0.49,2007,https://en.wikipedia.org/wiki/ChaH%CE%B18
COROT-20,4000,17,,Monoceros,06h 30m 55.3s,+0° 13′ 37″,14.66,G2V,c,1675,2.9,0.6,2010,https://en.wikipedia.org/w/index.php?title=COROT-20&action=edit&redlink=1
HD 168443,123.5,34,,Serpens,18h 20m 04s,–09° 35′ 34″,6.92,G5,c,1739.5,2.87,0.228,2001,https://en.wikipedia.org/wiki/HD_168443
HD 38529 A,138,37,,Orion,05h 46m 34s,+01° 10′ 05″,5.94,G4IV,c,2174.3,3.68,0.36,2002,https://en.wikipedia.org/wiki/HD_38529
Epsilon Indi,11.8,28,,Indus,22h 03m 22s,–56° 47′ 09″,4.69,K5V,Bb,5478.75,2.65,,2003,https://en.wikipedia.org/wiki/Epsilon_Indi
HW Virginis,590,19.23,,Virgo,12h 44m 20s,−08° 40′ 17″,10.9,sdB+M,b,5786,5.3,0.46,2008,https://en.wikipedia.org/wiki/HW_Virginis
DT Virginis,37.55,12.5,1.1,Virgo,13h 0m 41.74s,12°  21 ′  14.7″,9.72,P,c,33081,,,2010,https://en.wikipedia.org/wiki/DT_Virginis
